region,fishID,total.length,dN,dC
PIS,jug238,12.1,9.143,-15.2278
PIS,red217,12.6,11.1438,-14.6577
PIS,jug253,13.1,9.2664,-15.4954
PIS,red229,13.6,10.9707,-14.724
PIS,red220,14,9.1925,-12.6235
PIS,red223,15,11.3528,-14.3504
PIS,jug236,15.1,9.7619,-15.3203
PIS,red219,16,10.0458,-12.466
PIS,jug304,16.1,8.985,-14.6462
PIS,red225,16.9,9.9313,-13.7834
PIS,jug230,17.4,9.5435,-17.8132
PIS,jug247,17.8,9.6464,-15.5045
PIS,red214,18,11.4214,-14.0488
PIS,red008,18.6,10.6141,-14.4839
PIS,jug231,19,9.021,-13.7188
PIS,jug249,20,10.8904,-16.532
PIS,jug322,20.2,9.664,-13.5076
PIS,red012,20.3,10.5134,-13.6224
PIS,jug308,20.6,9.2942,-13.7757
PIS,red010,21.9,9.3129,-13.4996
PIS,red009,22.5,11.772,-15.6181
PIS,red123,22.6,9.4574,-11.7191
PIS,red001,23.3,10.8389,-13.5235
PIS,red014,24.2,10.9326,-13.1874
PIS,red006,24.5,10.1064,-11.6591
PIS,red016,25.2,9.1113,-11.4125
PIS,red007,25.6,9.4326,-11.86
